iter	Passed	Remaining
1396	274498	253474
1397	274684	253267
1398	274901	253090
1399	275077	252875
1400	275253	252659
1401	275441	252455
1402	275621	252244
1403	275772	252005
1404	275956	251797
1405	276126	251577
1406	276262	251325
1407	276432	251106
1408	276587	250871
1409	276744	250640
1410	276907	250414
1411	277083	250198
1412	277230	249958
1413	277388	249727
1414	277548	249499
1415	277686	249251
1416	277882	249054
1417	278027	248812
1418	278206	248601
1419	278402	248405
1420	278570	248184
1421	278710	247938
1422	278886	247725
1423	279010	247464
1424	279173	247240
1425	279326	247006
1426	279464	246759
1427	279644	246549
1428	279809	246326
1429	279985	246113
1430	280166	245904
1431	280318	245670
1432	280528	245486
1433	280715	245283
1434	280906	245083
1435	281078	244867
1436	281275	244672
1437	281426	244437
1438	281661	244276
1439	281862	244085
1440	282077	243905
1441	282267	243705
1442	282417	243470
1443	282565	243233
1444	282750	243028
1445	282924	242814
1446	283092	242594
1447	283349	242451
1448	283552	242262
1449	283747	242066
1450	283895	241829
1451	284079	241623
1452	284239	241398
1453	284436	241203
1454	284593	240975
1455	284768	240762
1456	284928	240537
1457	285071	240296
1458	285248	240085
1459	285417	239868
1460	285571	239637
1461	285739	239418
1462	285948	239234
1463	286127	239025
1464	286347	238851
1465	286665	238757
1466	286868	238568
1467	287183	238471
1468	287386	238282
1469	287560	238069
1470	287691	237819
1471	287847	237591
1472	288032	237387
1473	288201	237170
1474	288369	236951
1475	288536	236732
1476	288749	236551
1477	288999	236400
1478	289196	236206
1479	289361	235985
1480	289480	235728
1481	289680	235536
1482	289836	235309
1483	289998	235085
1484	290144	234850
1485	290358	234670
1486	290507	234437
1487	290673	234219
1488	290850	234008
1489	291072	233834
1490	291229	233608
1491	291392	233387
1492	291569	233177
1493	291738	232961
1494	291914	232750
1495	292065	232519
1496	292213	232287
1497	292345	232041
1498	292510	231822
1499	292643	231578
1500	292791	231346
1501	292945	231119
1502	293096	230889
1503	293268	230675
1504	293411	230440
1505	293597	230238
1506	293773	230028
1507	293947	229817
1508	294289	229736
1509	294455	229519
1510	294624	229304
1511	294781	229079
1512	294970	228880
1513	295158	228679
1514	295412	228530
1515	295720	228422
1516	295973	228272
1517	296231	228125
1518	296435	227937
1519	296699	227794
1520	296951	227643
1521	297192	227483
1522	297460	227343
1523	297740	227213
1524	298034	227092
1525	298349	226988
1526	298615	226846
1527	298844	226675
1528	299041	226481
1529	299262	226305
1530	299507	226146
1531	299732	225973
1532	299885	225745
1533	300075	225545
1534	300237	225324
1535	300414	225115
1536	300582	224899
1537	300728	224666
1538	300887	224443
1539	301036	224213
1540	301224	224012
1541	301415	223813
1542	301658	223653
1543	301924	223510
1544	302160	223344
1545	302438	223209
1546	302612	222997
1547	302891	222864
1548	303112	222687
1549	303285	222474
1550	303451	222257
1551	303628	222047
1552	303861	221879
1553	304077	221699
1554	304305	221526
1555	304521	221345
1556	304755	221177
1557	304983	221005
1558	305267	220873
1559	305532	220727
1560	305751	220548
1561	306127	220482
1562	306320	220284
1563	306496	220073
1564	306671	219863
1565	306841	219648
1566	307041	219454
1567	307224	219249
1568	307427	219059
1569	307655	218886
1570	307857	218694
1571	308108	218537
1572	308295	218334
1573	308474	218127
1574	308614	217891
1575	308792	217682
1576	308938	217452
1577	309113	217241
1578	309280	217025
1579	309436	216801
1580	309571	216562
1581	309724	216337
1582	309919	216141
1583	310082	215922
1584	310247	215704
1585	310467	215526
1586	310684	215345
1587	310898	215161
1588	311102	214972
1589	311281	214764
1590	311523	214600
1591	311768	214438
1592	311929	214218
1593	312151	214041
1594	312362	213855
1595	312521	213635
1596	312716	213438
1597	312899	213233
1598	313100	213041
1599	313281	212835
1600	313437	212613
1601	313588	212386
1602	313761	212175
1603	313959	211981
1604	314152	211783
1605	314350	211589
1606	314544	211392
1607	314745	211200
1608	314919	210990
1609	315159	210824
1610	315443	210687
1611	315791	210593
1612	315964	210381
1613	316144	210175
1614	316313	209961
1615	316555	209796
1616	316751	209600
1617	316991	209433
1618	317196	209243
1619	317378	209038
1620	317535	208817
1621	317737	208625
1622	317906	208411
1623	318214	208289
1624	318430	208106
1625	318624	207909
1626	318788	207692
1627	318943	207469
1628	319079	207235
1629	319252	207024
1630	319468	206841
1631	319677	206654
1632	319846	206440
1633	320121	206296
1634	320315	206099
1635	320475	205879
1636	320633	205659
1637	320799	205445
1638	320955	205223
1639	321204	205061
1640	321370	204846
1641	321510	204615
1642	321741	204441
1643	321952	204255
1644	322151	204062
1645	322393	203895
1646	322637	203729
1647	322843	203540
1648	323018	203331
1649	323191	203121
1650	323378	202919
1651	323527	202694
1652	323729	202502
1653	323939	202315
1654	324160	202135
1655	324374	201950
1656	324584	201763
